No,Kode Saham,Nama Perusahaan,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
595,NFCX,NFC Indonesia Tbk.,0,6250,5975,6150,-100,45200,274592500,159,332.4,6150,1300,6000,2300,666667500,666667500,216666938,0,0,0,0,0
596,NICK,Charnic Capital Tbk.,0,260,234,248,14,45100,10905600,68,124.0,244,400,234,200,651150000,651150000,118183725,0,0,0,0,0
597,NICL,PAM Mineral Tbk.,0,248,226,226,-16,19223000,4514616600,2734,226.0,226,389200,224,305400,10635644907,10635644907,2972662752,6709700,1002200,0,0,0
598,NIKL,Pelat Timah Nusantara Tbk.,0,364,350,356,-2,79100,27898800,29,109.5,356,414800,352,2800,2523350000,2523350000,368156765,0,0,0,0,0
599,NINE,Techno9 Indonesia Tbk.,0,11,10,10,-1,573100,5861100,28,13.3,11,1393900,10,2100600,2157000000,2157000000,0,0,0,0,0,0
600,NIPS,Nipress Tbk.,0,0,0,282,0,0,0,0,205.2,0,0,0,0,1635333332,1635333332,618319533,0,0,0,0,0
601,NIRO,City Retail Developments Tbk.,0,140,139,140,0,150100,20864000,3,133.3,140,300100,139,50000,22198871804,22198871804,5549717951,0,0,7920000,1100880000,1
602,NISP,Bank OCBC NISP Tbk.,0,1095,1080,1080,-5,2694400,2930300500,738,1308.7,1085,128600,1080,1079500,22715776032,22715776032,3148406558,481600,495400,200,220000,1
603,NOBU,Bank Nationalnobu Tbk.,0,760,745,745,0,564700,423304000,111,214.6,750,500,745,383000,7403659460,7403659460,858824497,45900,128000,0,0,0
604,NPGF,Nusa Palapa Gemilang Tbk.,0,53,50,50,-1,11185400,572540500,3943,50.0,51,366800,50,6347900,3240235840,3240235840,648047168,0,0,0,0,0
605,NRCA,Nusa Raya Cipta Tbk.,0,336,328,336,2,1166600,387561600,296,39.5,334,19900,330,60600,2496258344,2496258344,265851514,90200,0,0,0,0
606,NSSS,Nusantara Sawit Sejahtera Tbk.,0,0,0,161,0,0,0,0,126.8,0,0,0,0,23788854340,23788854340,6175428217,0,0,39600,5940000,1
607,NTBK,Nusatama Berkah Tbk.,0,70,68,69,0,11529200,796903700,173,69.0,70,8739200,69,165000,2700064877,2700064877,715517192,121800,375700,0,0,0
608,NUSA,Sinergi Megah Internusa Tbk.,0,0,0,50,0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,4383610084,0,0,0,0,0
609,NZIA,Nusantara Almazia Tbk.,0,115,103,104,-2,1105200,115353900,273,47.3,105,74700,104,427900,2197540705,2197540705,461483548,32500,25600,0,0,0
610,OASA,Maharaksa Biru Energi Tbk.,0,146,139,140,-6,75917200,10685943800,1100,376.7,141,1004400,140,288900,6347220000,6347220000,2819435124,5050300,1946100,48850600,5728838300,3
611,OBMD,OBM Drilchem Tbk.,0,264,256,262,6,561300,146137000,78,145.6,262,86400,260,100,805992931,805992931,145884721,85900,0,0,0,0
612,OCAP,Onix Capital Tbk.,0,0,0,159,0,0,0,0,79.5,0,0,0,0,273200000,273200000,32784000,0,0,0,0,0
613,OILS,Indo Oil Perkasa Tbk.,0,146,135,140,-5,8541500,1206321600,1232,51.9,140,104900,139,1487600,454056563,454056563,132720733,0,12600,0,0,0
614,OKAS,Ancora Indonesia Resources Tbk.,0,112,108,108,-2,1902800,207011200,212,270.2,108,471100,107,144300,2373449165,2373449165,501747153,0,0,0,0,0
615,OLIV,Oscar Mitra Sukses Sejahtera Tbk.,0,13,11,12,0,106600,1250400,40,12.0,12,207600,11,12673000,1900073314,1900073314,0,0,0,0,0,0
616,OMED,Jayamas Medica Industri Tbk.,0,214,208,210,0,962800,202883000,160,102.9,212,98700,210,98500,27058850000,27058850000,3598827050,0,0,0,0,0
617,OMRE,Indonesia Prima Property Tbk,0,560,515,550,0,3600,1937500,13,35.3,525,200,510,5800,2945211000,2945211000,411445977,200,100,0,0,0
618,OPMS,Optima Prima Metal Sinergi Tbk.,0,54,51,53,0,1678800,87338500,71,39.3,53,107000,52,577900,1000000000,1000000000,201600000,0,0,0,0,0
619,PACK,Solusi Kemasan Digital Tbk.,0,40,36,40,0,1995700,76096600,140,24.7,40,295900,39,80500,1537548947,1537548947,0,0,0,0,0,0
620,PADA,Personel Alih Daya Tbk.,0,50,50,50,0,1600,80000,4,50.0,50,36310000,0,0,3150000000,3150000000,899955000,0,0,0,0,0
621,PADI,Minna Padi Investama Sekuritas Tbk.,0,9,8,8,-1,151600,1213600,12,15.8,9,5353200,8,132800,11307246524,11307246524,11269932610,0,0,0,0,0
622,PALM,Provident Investasi Bersama Tbk.,0,456,444,444,-6,41700,18566000,37,121.4,444,23800,440,25900,7119540356,7119540356,842953578,0,30000,0,0,0
623,PAMG,Bima Sakti Pertiwi Tbk.,0,60,58,58,-1,3392600,198433000,290,58.0,59,190200,58,805500,3125000000,625000000,891875000,0,0,0,0,0
624,PANI,Pantai Indah Kapuk Dua Tbk.,0,4200,4100,4150,-10,4052300,16738080000,1288,54114.0,4150,33400,4140,600,13530000000,13530000000,1614129000,527900,128200,0,0,0
625,PANR,Panorama Sentrawisata Tbk.,0,675,645,670,5,7075100,4682850000,551,402.0,670,139700,665,30000,1200000000,1200000000,436800000,170300,704700,0,0,0
626,PANS,Panin Sekuritas Tbk.,0,1570,1555,1555,-15,97600,152419000,123,1130.9,1560,72800,1555,12600,720000000,720000000,286416000,50000,15800,0,0,0
627,PBID,Panca Budi Idaman Tbk.,0,1395,1370,1370,-5,57600,79645500,48,161.2,1380,6900,1370,14200,1875000000,1875000000,260062500,1700,0,0,0,0
628,PBRX,Pan Brothers Tbk.,0,50,50,50,0,156300,7815000,20,128.5,50,135797000,0,0,21482028246,21482028246,10884943712,0,0,4509368,302127656,2
629,PBSA,Paramita Bangun Sarana Tbk.,0,326,320,322,-4,150800,48464800,98,53.5,324,14900,322,16400,3000000000,3000000000,226800000,2600,4100,0,0,0
630,PCAR,Prima Cakrawala Abadi Tbk.,0,73,67,70,0,28227700,1981717600,10342,46.7,70,138700,69,392900,1166666700,1166646700,632916685,32900,114300,0,0,0
631,PDES,Destinasi Tirta Nusantara Tbk,0,306,294,304,-2,22500,6650800,33,152.0,304,600,294,36200,715000000,715000000,190118500,0,0,0,0,0
632,PDPP,Primadaya Plastisindo Tbk.,0,318,314,314,-2,889500,281228200,156,157.0,316,292500,314,124200,2500000000,2500000000,375000000,50000,0,0,0,0
633,PEGE,Panca Global Kapital Tbk.,0,208,202,208,0,19700,4010600,22,449.4,208,3300,204,16600,2833417056,2833417056,644885722,0,0,0,0,0
634,PEHA,Phapros Tbk.,0,560,550,550,-5,36700,20217500,24,45.9,555,7500,550,20400,840000000,840000000,251412000,200,0,0,0,0
635,PEVE,Penta Valent Tbk.,0,157,153,153,-3,420700,64645400,33,102.7,153,42500,152,52000,1765625000,1765299500,323109375,0,0,0,0,0
636,PGAS,Perusahaan Gas Negara Tbk.,1120,1145,1115,1125,10,46493800,52608489500,5893,375.0,1130,487900,1125,124400,24241508196,24241508196,10433545128,11012400,12510700,40000,45600000,2
637,PGEO,Pertamina Geothermal Energy Tbk.,0,1310,1220,1220,-35,67552600,85416491000,10800,139.4,1225,277600,1220,1183300,41396142000,12827682000,4139614200,13706700,8237400,0,0,0
638,PGJO,Tourindo Guide Indonesia Tbk.,0,82,81,82,-1,1229800,100409600,248,142.1,82,3500,81,1600,765259095,765259095,0,0,0,0,0,0
639,PGLI,Pembangunan Graha Lestari Indah Tbk.,0,174,166,172,4,18900,3216900,18,229.3,172,4000,165,1000,488000000,488000000,126733600,0,0,0,0,0
640,PGUN,Pradiksi Gunatama Tbk.,0,440,438,438,20,300,131800,3,380.9,438,2100,422,100,5737848882,5737848882,372386392,0,0,0,0,0
641,PICO,Pelangi Indah Canindo Tbk,0,134,123,131,0,352400,46083600,48,20.2,131,1500,130,42400,568375000,568375000,173468050,0,0,0,0,0
642,PIPA,Multi Makmur Lemindo Tbk.,0,50,50,50,0,10700,535000,8,47.6,50,52304400,0,0,3425005196,2425005196,925092500,0,0,0,0,0
643,PJAA,Pembangunan Jaya Ancol Tbk.,0,975,930,940,-5,363000,340968500,123,183.4,945,26200,940,14900,1599999996,1599999996,160000000,19000,26400,0,0,0
644,PKPK,Perdana Karya Perkasa Tbk,0,358,340,348,12,797200,279378600,73,87.0,348,2900,344,5100,1200000000,1200000000,309960000,80000,0,0,0,0
645,PLAN,Planet Properindo Jaya Tbk.,0,27,26,27,0,1200,31900,4,24.1,27,612300,26,59700,896709596,896709596,0,0,0,0,0,0
646,PLAS,Polaris Investama Tbk,0,0,0,50,0,0,0,0,11.8,0,0,0,0,1184200000,1184200000,999938480,0,0,0,0,0
647,PLIN,Plaza Indonesia Realty Tbk.,0,2900,2780,2860,-70,3800,10813000,11,1186.8,2870,1500,2780,100,3550000000,3550000000,85555000,1600,0,0,0,0
648,PMJS,Putra Mandiri Jembar Tbk.,0,151,149,151,0,5500,824300,16,120.8,151,101800,149,700,13755600000,13755600000,1031670000,1900,0,0,0,0
649,PMMP,Panca Mitra Multiperdana Tbk.,0,310,294,306,10,10020300,3036360000,1322,91.1,306,167100,304,2100,2353000000,2353000000,352950000,750900,458800,100000,30400000,1
650,PNBN,Bank Pan Indonesia Tbk,0,1065,1045,1050,0,1333000,1404292500,346,1748.3,1055,1500,1050,518100,23837645998,23837645998,3487447610,359800,3000,0,0,0
651,PNBS,Bank Panin Dubai Syariah Tbk.,0,56,55,55,0,2725500,150760600,154,55.0,56,3769400,55,10972800,38425504906,38425504906,2920338373,0,0,0,0,0
652,PNGO,Pinago Utama Tbk.,0,1400,1355,1385,-20,46500,63449500,77,554.0,1385,3100,1365,500,781250000,781250000,194375000,500,0,0,0,0
653,PNIN,Paninvest Tbk.,0,980,960,975,10,224800,218073000,98,1036.8,975,25800,970,5100,4068323920,4068323920,1318136950,5900,63100,0,0,0
654,PNLF,Panin Financial Tbk.,0,264,256,256,-6,24985800,6460487800,1205,276.7,258,20100,256,4452900,32022073293,32022073293,10250265661,13833700,251100,0,0,0
655,PNSE,Pudjiadi & Sons Tbk.,0,0,0,392,0,0,0,0,195.9,0,0,392,5000,797813496,797813496,62947485,0,0,0,0,0
656,POLA,Pool Advista Finance Tbk.,0,50,50,50,0,20100,1005000,4,37.0,50,28650600,0,0,2729385500,2729385500,436974587,0,0,0,0,0
657,POLI,Pollux Hotels Group Tbk.,0,810,805,810,-5,200,161500,2,49.5,810,900,690,1500,2010526400,2010526400,160842112,100,0,0,0,0
658,POLL,Pollux Properties Indonesia Tbk.,0,150,147,147,0,63500,9489400,20,23.9,147,24300,146,23100,8318823600,8318823600,761172359,32800,0,0,0,0
659,POLU,Golden Flower Tbk.,0,0,0,825,0,0,0,0,286.5,0,0,0,0,750000000,220500000,1500000,0,0,0,0,0
660,POLY,Asia Pacific Fibers Tbk,0,0,0,50,0,0,0,0,0.4,50,7348800,0,0,2495753334,2495753334,849304860,0,0,0,0,0
661,POOL,Pool Advista Indonesia Tbk.,0,0,0,50,0,0,0,0,31.7,0,0,0,0,2341366264,2341366264,1519312569,0,0,0,0,0
662,PORT,Nusantara Pelabuhan Handal Tbk.,0,795,760,795,25,9500,7396000,7,148.6,795,7800,755,2800,2813941985,2813941985,576858107,400,0,0,0,0
663,POSA,Bliss Properti Indonesia Tbk.,0,0,0,50,0,0,0,0,33.3,0,0,0,0,8388870206,8388870206,1702101765,0,0,0,0,0
664,POWR,Cikarang Listrindo Tbk.,0,715,705,710,5,1604200,1136784000,586,47.3,710,367700,705,1054900,16087156000,16087156000,2094547711,1069300,4600,0,0,0
665,PPGL,Prima Globalindo Logistik Tbk.,0,109,106,107,0,121400,13024800,58,97.3,107,2600,106,49500,771178020,771178020,0,0,0,0,0,0
666,PPRE,PP Presisi Tbk.,0,84,83,84,1,2960200,245985500,273,19.5,84,107100,83,40400,10224271000,10224271000,1640995496,30000,0,0,0,0
667,PPRI,Paperocks Indonesia Tbk.,0,77,70,76,-1,3895400,294501800,427,54.3,76,517100,75,981000,1075000000,275000000,274985000,0,0,0,0,0
668,PPRO,PP Properti Tbk.,0,50,50,50,0,91100,4555000,6,108.1,50,128870000,0,0,61675671883,61675671883,13426793769,0,0,0,0,0
669,PRAS,Prima Alloy Steel Universal Tbk.,0,132,121,122,2,36100,4674800,35,68.7,130,300,122,1000,701043478,701043478,34491339,0,0,0,0,0
670,PRAY,Famon Awal Bros Sedaya Tbk.,0,685,660,685,0,24600,16530000,39,76.1,685,19100,670,11000,13959422300,13959422300,1154444224,2200,0,0,0,0
671,PRDA,Prodia Widyahusada Tbk.,0,5800,5575,5575,-125,3773500,21554275000,947,85.8,5600,500,5575,2400,937500000,937500000,262500000,1847100,225800,0,0,0
672,PRIM,Royal Prima Tbk.,0,97,90,94,-1,30379200,2816786500,1138,18.8,94,900900,93,1269400,3393434905,3393434905,460489117,2597800,6459000,0,0,0
673,PSAB,J Resources Asia Pasifik Tbk.,0,86,85,85,-1,1087500,92867600,128,275.8,86,244800,85,1101200,26460000000,26460000000,1984500000,0,0,0,0,0
674,PSDN,Prasidha Aneka Niaga Tbk,0,80,73,77,-1,292900,22420100,93,7.7,77,12400,76,200,1440000000,1440000000,111744000,0,0,0,0,0
675,PSGO,Palma Serasih Tbk.,0,135,132,132,-3,1300,172800,2,125.7,132,2500,131,2000,18850000000,18850000000,2850120000,900,0,0,0,0
676,PSKT,Red Planet Indonesia Tbk.,0,50,50,50,0,16500,825000,5,59.5,50,16183800,0,0,10351231636,10351231636,2047473618,0,0,0,0,0
677,PSSI,IMC Pelita Logistik Tbk.,0,505,498,500,-5,180300,90126700,145,370.4,505,95600,500,4700,5417063153,5417063153,604544248,31500,0,0,0,0
678,PTBA,Bukit Asam Tbk.,2350,2370,2340,2340,-10,5557200,13042703000,3502,2034.8,2350,285500,2340,540600,11520659250,11520659250,3851356387,1982300,1318800,6000,14100000,4
679,PTDU,Djasa Ubersakti Tbk.,0,52,51,51,0,4543600,233110600,155,51.0,52,414900,51,2016300,1500000000,1500000000,400050000,0,10900,0,0,0
680,PTIS,Indo Straits Tbk.,0,360,316,326,6,139700,47684200,186,34.3,324,4100,322,500,550165300,550165300,93638134,0,0,0,0,0
681,PTMP,Mitra Pack Tbk.,0,202,194,196,-1,29537700,5849364900,5579,163.3,196,499400,195,690300,3169200000,3169200000,728599080,2713100,263200,0,0,0
682,PTPP,PP (Persero) Tbk.,0,585,565,570,-5,11967700,6868861000,1478,107.1,575,195700,570,79900,6199897354,6199897354,3025549909,795900,1676600,0,0,0
683,PTPS,Pulau Subur Tbk.,0,154,142,144,-2,34510000,5096690600,3768,72.7,145,26700,144,129300,2167500000,450000000,450000000,190700,229700,0,0,0
684,PTPW,Pratama Widya Tbk.,0,940,935,935,-5,13000,12209000,31,143.8,940,1700,935,1600,878187500,878187500,84130363,0,0,0,0,0
685,PTRO,Petrosea Tbk.,0,4310,4080,4100,30,8562100,36016154000,5701,3280.0,4100,18400,4090,33600,1008605000,1008605000,172975758,535400,170000,19178701,70194045660,2
686,PTSN,Sat Nusapersada Tbk,0,250,242,246,-2,535400,131633600,180,127.2,248,56900,244,139400,5314344000,5314344000,719030743,0,9700,0,0,0
687,PTSP,Pioneerindo Gourmet International Tbk.,0,1885,1515,1885,375,10700,19264500,47,147.8,0,0,1885,22900,220808000,220808000,74368134,700,200,400,3200000,4
688,PUDP,Pudjiadi Prestige Tbk.,0,600,570,600,15,19800,11576000,45,74.8,595,1100,580,10000,329560000,329560000,79489872,0,0,0,0,0
689,PURA,Putra Rajawali Kencana Tbk.,0,50,50,50,0,1000,50000,1,47.6,50,26814200,0,0,6301930902,6301930902,3751539466,0,0,0,0,0
690,PURE,Trinitan Metals and Minerals Tbk.,0,0,0,51,0,0,0,0,17.0,0,0,0,0,1375181505,1375181505,862101285,0,0,0,0,0
691,PURI,Puri Global Sukses Tbk.,0,346,282,334,52,54557300,17607081600,20490,196.5,336,72100,334,2079400,1000000000,1000000000,116500000,1765900,2065200,0,0,0
692,PWON,Pakuwon Jati Tbk.,0,418,408,410,-8,12489100,5123046000,1708,1580.6,410,9400,408,953700,48159602400,48159602400,14924660784,5412100,1151000,58207800,24321180400,2
693,PYFA,Pyridam Farma Tbk,0,850,795,840,10,19500,15852000,22,823.2,840,500,835,200,535080000,535080000,149768892,0,5600,0,0,0
694,PZZA,Sarimelati Kencana Tbk.,0,414,410,410,-2,13100,5393000,17,37.3,414,35400,410,900,3021875000,3021875000,666927813,0,900,0,0,0
695,RAAM,Tripar Multivision Plus Tbk.,0,660,565,565,-35,33036600,20147571500,7137,241.5,570,16000,565,86600,6194200000,929200000,979303020,3521300,1877300,0,0,0
696,RAFI,Sari Kreasi Boga Tbk.,0,50,50,50,0,2011000,100550000,123,39.7,50,2826800,0,0,3128140475,3128140475,762015020,0,0,0,0,0
697,RAJA,Rukun Raharja Tbk.,0,1015,995,995,-20,3348000,3351703500,692,3417.8,1000,11200,995,51700,4227082500,4227082500,819208589,428400,430600,0,0,0
698,RALS,Ramayana Lestari Sentosa Tbk.,0,505,494,498,2,2963100,1477426000,363,311.3,498,404800,496,579200,7096000000,7096000000,1402879200,608200,202700,0,0,0
699,RANC,Supra Boga Lestari Tbk.,0,615,605,610,5,6000,3660000,16,122.0,615,100,580,5000,1564487500,1564487500,171624279,0,0,0,0,0
700,RBMS,Ristia Bintang Mahkotasejati Tbk.,0,50,50,50,0,1000,50000,1,16.0,50,10239000,0,0,2656212826,2656212826,1265154169,0,0,0,0,0
701,RCCC,Utama Radar Cahaya Tbk.,0,115,108,115,0,200,22300,2,85.2,115,15700,109,300,750000000,150000000,0,0,0,0,0,0
702,RDTX,Roda Vivatex Tbk,0,15275,15025,15275,0,200,3030000,2,804.7,15275,100,13200,100,268800000,268800000,56689920,0,0,0,0,0
703,REAL,Repower Asia Indonesia Tbk.,0,0,0,50,0,0,0,0,50.0,50,74063300,0,0,6633610151,6633610151,2046468732,0,0,0,0,0
704,RELF,Graha Mitra Asia Tbk.,0,39,36,39,2,84173800,3142095700,5617,43.3,39,2137600,38,2201000,5727800000,5110680000,0,461500,565900,0,0,0
705,RELI,Reliance Sekuritas Indonesia Tbk.,0,530,446,474,40,61400,29722500,121,218.8,474,500,468,100,1800000000,1800000000,243180000,19700,0,0,0,0
706,RGAS,Kian Santang Muliatama Tbk.,0,105,91,98,1,105321500,10407626700,11495,81.7,98,402800,97,60600,1459200000,334200000,334200000,1645500,24300,0,0,0
707,RICY,Ricky Putra Globalindo Tbk,0,127,118,121,-6,28495200,3430547200,3002,19.2,121,152000,120,200500,641717510,641717510,295960116,58300,33200,0,0,0
708,RIGS,Rig Tenders Indonesia Tbk.,0,565,540,560,10,23900,12968000,15,229.5,560,110200,540,1200,609130000,609130000,116222004,0,0,0,0,0
709,RIMO,Rimo International Lestari Tbk,0,0,0,50,0,0,0,0,27.5,0,0,0,0,45080600000,45080600000,28657737420,0,0,0,0,0
710,RISE,Jaya Sukses Makmur Sentosa Tbk.,0,980,955,980,0,21800,21261000,15,601.2,980,8500,970,8800,10945000000,10945000000,2499838000,1200,0,0,0,0
711,RMBA,Bentoel Internasional Investama Tbk.,0,0,0,306,0,0,0,0,2394.4,0,0,0,0,36401136250,36401136250,7280227,0,0,0,0,0
712,RMKE,RMK Energy Tbk.,0,665,650,650,0,2028000,1336747500,276,315.5,655,100000,650,160800,4375000000,4375000000,735000000,4400,29000,0,0,0
713,RMKO,Royaltama Mulia Kontraktorindo Tbk.,0,276,266,272,6,405500,109644600,96,60.4,272,28800,268,14500,1250000000,250000000,250000000,0,300000,0,0,0
714,ROCK,Rockfields Properti Indonesia Tbk.,0,0,0,350,0,0,0,0,26.1,350,7300,0,0,1435185100,1435185100,287037020,0,0,0,0,0
715,RODA,Pikko Land Development Tbk.,0,50,50,50,0,924800,46240000,44,79.8,50,1439700,0,0,13592128209,13592128209,2439787014,0,3400,0,0,0
716,RONY,Aesler Grup Internasional Tbk.,0,0,0,380,0,0,0,0,380.0,380,200,0,0,1250000000,1250000000,7500000,0,0,450000000,45000000000,1
717,ROTI,Nippon Indosari Corpindo Tbk.,0,1305,1275,1290,0,71700,91966000,43,505.9,1290,134600,1285,8200,6186488888,6186488888,551216160,45000,0,0,0,0
718,RSCH,Charlie Hospital Semarang Tbk.,0,128,118,124,5,11435100,1414111500,1379,107.8,124,25300,123,66200,2650000000,538240000,514895000,1024500,1023500,0,0,0
719,RSGK,Kedoya Adyaraya Tbk.,0,1295,1235,1255,-10,1200,1494000,10,73.0,1250,100,1235,3000,929675000,929675000,62102290,0,0,0,0,0
720,RUIS,Radiant Utama Interinsco Tbk.,0,246,230,240,8,1825800,437700600,291,96.0,242,10000,236,900,770000000,770000000,285131000,131400,0,0,0,0
721,RUNS,Global Sukses Solusi Tbk.,0,54,52,53,0,85500,4496400,17,20.9,53,360100,52,4600,983557875,983557875,0,0,0,0,0,0
722,SAFE,Steady Safe Tbk,0,155,149,154,0,306100,47329200,653,15.5,150,1100,149,200,615145012,615145012,38446563,0,0,0,0,0
723,SAGE,Saptausaha Gemilangindah Tbk.,0,50,50,50,0,3300,165000,8,50.0,50,80324700,0,0,8033260031,8033260031,1584960319,0,0,0,0,0
724,SAME,Sarana Meditama Metropolitan Tbk.,0,320,308,310,-6,712000,221398600,168,595.0,310,100100,308,231600,17138382545,17138382545,3832142337,19700,4700,0,0,0
725,SAMF,Saraswanti Anugerah Makmur Tbk.,0,780,770,770,0,112500,86936000,35,641.7,775,10800,770,231400,5125000000,5125000000,313137500,3300,0,0,0,0
726,SAPX,Satria Antaran Prima Tbk.,0,710,700,700,-5,600,422000,6,280.0,700,400,690,100,833333300,830113500,64499997,0,0,0,0,0
727,SATU,Kota Satu Properti Tbk.,0,113,110,113,2,12284100,1372201800,1971,96.6,113,190900,112,101700,1375000000,1375000000,358325000,0,0,0,0,0
728,SBAT,Sejahtera Bintang Abadi Textile Tbk.,0,50,50,50,0,300,15000,2,47.6,50,204438900,0,0,4752982378,4752982378,2448736521,0,0,2500000,20000000,1
729,SBMA,Surya Biru Murni Acetylene Tbk.,0,160,158,159,0,22700,3613200,13,88.3,159,117800,158,50300,929926282,929926282,279907811,0,0,0,0,0
730,SCCO,Supreme Cable Manufacturing & Commerce Tbk.,0,8400,8375,8375,0,900,7545000,7,5403.2,8625,100,8375,600,205583400,205583400,34044611,0,0,0,0,0
731,SCMA,Surya Citra Media Tbk.,150,151,147,150,0,58208300,8690016000,2178,339.3,151,1792200,149,1203200,73970569505,73970569505,17982245447,18035500,2232700,0,0,0
732,SCNP,Selaras Citra Nusantara Perkasa Tbk.,0,224,194,222,-2,72500,15221400,58,201.8,218,100,204,1400,2500000000,2500000000,111250000,0,1600,0,0,0
733,SCPI,Organon Pharma Indonesia Tbk.,0,0,0,29000,0,0,0,0,227.5,0,0,0,0,3600000,3600000,5400,0,0,0,0,0
734,SDMU,Sidomulyo Selaras Tbk.,0,50,50,50,0,855100,42755000,42,27.5,50,20481800,0,0,1135225000,1135225000,460674305,0,0,0,0,0
735,SDPC,Millennium Pharmacon International Tbk.,0,214,188,199,11,169505400,33748306800,59446,132.8,199,1054800,198,23846800,1274000000,1274000000,210464800,2969700,2458600,0,0,0
736,SDRA,Bank Woori Saudara Indonesia 1906 Tbk.,0,570,565,565,-5,95900,54194500,77,640.4,565,6300,560,14100,8482552020,8482552020,759188406,0,31200,0,0,0
737,SEMA,Semacom Integrated Tbk.,0,114,107,110,-2,7731900,846129400,1055,61.1,111,33100,110,381200,1347258842,1347258842,347323329,26800,19200,0,0,0
738,SFAN,Surya Fajar Capital Tbk.,0,1870,1860,1865,-5,396500,741029000,107,992.0,1870,500,1865,100,1359934021,1359934021,391117024,18100,0,0,0,0
739,SGER,Sumber Global Energy Tbk.,0,1885,1775,1810,-15,2152000,3963248000,1649,3945.8,1815,3300,1810,19200,4107613345,4107613345,1622661307,493300,379800,49,36745,2
740,SGRO,Sampoerna Agro Tbk.,0,2020,1985,2010,-10,8700,17503500,28,85.9,2020,34900,2010,1600,1818622000,1818622000,551042466,1900,0,0,0,0
741,SHID,Hotel Sahid Jaya International Tbk.,0,1350,1330,1330,-25,24400,32606500,47,61.8,1355,1800,1330,6500,1119326168,1119326168,160847170,4700,0,0,0,0
742,SHIP,Sillo Maritime Perdana Tbk.,0,1130,1125,1130,5,400,450500,3,807.1,1210,100,1125,19700,2719790000,2500000000,497993549,0,0,0,0,0
743,SICO,Sigma Energy Compressindo Tbk.,0,114,112,113,-1,225800,25489700,100,49.1,114,242700,113,2600,910045942,910045942,276289714,0,0,0,0,0
744,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,496,498,494,496,2,11064400,5482170400,2248,171.6,498,1143600,496,83900,30000000000,30000000000,6720000000,1234700,3803300,0,0,0
745,SILO,Siloam International Hospitals Tbk.,0,2500,2400,2410,-90,3201900,7800409000,1729,219.2,2410,6900,2400,137900,13006125000,13006125000,2010746925,1169700,1466800,0,0,0
746,SIMA,Siwani Makmur Tbk,0,0,0,50,0,0,0,0,6.4,0,0,0,0,442589871,442589871,363100730,0,0,0,0,0
747,SIMP,Salim Ivomas Pratama Tbk.,0,382,372,380,4,2185900,828922200,125,34.5,380,19500,378,36800,15816310000,15816310000,2848517431,0,60500,0,0,0
748,SINI,Singaraja Putra Tbk.,0,870,850,860,10,35400,30699000,38,796.3,860,26000,855,200,481000000,481000000,128811800,0,0,0,0,0
749,SIPD,Sreeya Sewu Indonesia Tbk.,0,950,930,950,-5,300,283000,3,1.1,1015,100,930,100,1839102056,1839102056,168645659,0,100,0,0,0
750,SKBM,Sekar Bumi Tbk.,0,314,300,312,0,3100,933800,9,271.3,312,500,300,2200,1730103217,1730103217,344117530,0,0,0,0,0
751,SKLT,Sekar Laut Tbk.,0,4130,3950,3960,-210,77900,313171000,244,331.5,3960,16700,3950,300,690740500,690740500,140634766,300,0,0,0,0
752,SKRN,Superkrane Mitra Utama Tbk.,0,625,610,610,-10,939800,582336000,414,435.7,615,836700,610,130700,7500000000,7494000000,1118250000,155400,211500,0,0,0
753,SKYB,Northcliff Citranusa Indonesia Tbk.,0,0,0,51,0,0,0,0,13.6,0,0,0,0,585000000,585000000,229612500,0,0,0,0,0
754,SLIS,Gaya Abadi Sempurna Tbk.,0,82,80,81,0,5886900,475608900,438,70.9,82,1238400,80,1325100,2463335050,2463335050,1158260141,749800,13700,0,0,0
755,SMAR,Smart Tbk.,0,3950,3850,3930,30,15000,58646000,46,1298.5,3940,100,3890,100,2872193366,2872193366,216850599,200,500,0,0,0
756,SMBR,Semen Baturaja Tbk.,0,314,310,312,-2,328000,102426600,105,55.7,312,51700,310,139500,9932534336,9932534336,1648800700,0,20300,0,0,0
757,SMCB,Solusi Bangun Indonesia Tbk.,0,1745,1725,1735,15,3000500,5211939000,853,2095.4,1735,16500,1730,29700,9019381973,9019381973,101017078,88900,26500,0,0,0
758,SMDM,Suryamas Dutamakmur Tbk.,0,180,175,177,-1,811900,143837300,99,22.4,180,81200,177,15400,4772138237,4772138237,161298272,0,0,0,0,0
759,SMDR,Samudera Indonesia  Tbk.,0,290,282,284,-6,4792600,1369393000,1350,5698.2,286,2900,284,209400,16375600000,16375600000,4056236120,547700,261300,0,0,0
760,SMGR,Semen Indonesia (Persero) Tbk.,6350,6375,6250,6275,-100,2995900,18879915000,1456,2191.6,6275,74700,6250,164500,6751540089,6751540089,3292726101,2045800,501000,58,371150,2
761,SMIL,Sarana Mitra Luas Tbk.,0,126,124,126,0,70405200,8803134300,2003,126.0,126,1592800,125,79800,8750000000,1750000000,1750000000,970900,3193400,0,0,0
